802 2684
269 683 545
779 20 493
105 411 314
387 82 73
281 400 104
662 130 793
631 181 163
598 200 24
2 741 359
218 629 539
492 155 550
656 51 996
271 298 237
345 646 850
652 686 652
271 648 710
254 136 265
493 152 554
508 605 49
27 624 981
770 336 609
129 130 859
338 562 577
563 68 267
314 27 104
421 633 47
268 179 247
378 723 383
242 264 657
66 407 591
615 320 306
419 788 225
422 295 559
454 100 69
123 583 11
240 241 874
276 107 176
415 51 873
435 401 806
555 506 29
574 443 894
143 469 642
209 326 201
236 479 437
617 264 116
28 511 430
767 493 164
394 504 981
465 393 158
423 584 831
167 666 996
209 710 379
478 563 776
67 282 213
423 223 873
749 495 106
694 636 437
715 635 996
325 186 828
534 801 872
434 516 606
171 180 665
155 150 361
749 237 946
659 799 811
401 530 44
465 641 171
540 64 98
7 144 912
349 331 842
55 436 613
38 671 914
122 176 194
71 669 901
288 318 310
113 544 43
289 543 716
455 683 323
635 547 137
105 81 54
136 200 408
399 729 843
383 279 710
621 422 141
297 168 608
334 678 252
12 802 464
585 435 388
56 435 658
615 374 25
42 185 111
378 748 913
531 564 640
247 7 354
307 354 402
423 589 922
494 90 102
551 424 450
318 485 574
576 154 273
516 300 793
334 672 765
260 84 620
139 441 565
103 344 628
751 98 267
433 13 55
736 57 969
195 652 226
645 237 477
100 199 552
628 791 493
580 773 102
534 181 990
26 2 527
22 41 849
516 287 384
330 97 944
330 751 119
99 556 72
636 531 548
569 582 742
166 150 114
40 437 707
486 435 377
161 586 520
35 23 525
21 702 483
21 423 840
705 142 759
664 523 32
601 104 478
184 360 716
497 686 97
604 487 240
294 370 579
158 229 557
654 28 83
218 53 97
356 321 283
528 207 130
664 27 17
260 539 311
65 29 800
176 694 957
40 253 792
752 320 549
476 59 353
100 389 766
327 111 596
709 504 335
345 224 173
69 563 453
309 794 5
653 149 188
506 636 547
476 608 166
347 473 572
687 444 793
140 479 63
487 635 184
549 496 772
738 401 420
690 491 420
215 536 211
248 112 443
370 127 515
542 705 360
193 782 812
359 300 541
297 732 885
631 220 761
551 331 245
172 674 202
771 354 932
230 221 917
402 223 463
239 270 855
246 272 77
616 319 453
303 629 653
51 484 948
565 118 590
591 495 782
510 277 784
500 197 484
172 406 117
181 635 995
60 216 483
64 215 681
714 6 908
494 668 935
544 435 168
469 640 552
170 676 81
796 240 954
91 491 867
237 651 419
255 419 245
438 694 501
732 72 368
189 44 493
408 194 117
462 52 684
265 69 982
470 676 242
773 633 512
492 113 763
507 785 957
644 800 348
286 507 522
706 495 586
186 150 607
230 385 496
721 738 839
37 661 620
420 72 511
17 688 945
520 89 232
415 634 189
25 412 707
731 492 841
725 187 66
185 531 127
89 461 558
490 11 550
746 274 656
108 195 182
223 226 41
640 384 937
685 96 763
621 382 513
74 788 209
656 463 189
40 52 713
447 778 236
312 175 902
522 259 834
440 686 841
294 258 286
688 701 644
782 254 309
501 36 931
131 471 605
84 767 764
404 328 989
730 449 850
335 90 849
44 109 950
6 21 314
644 247 869
339 164 853
563 205 646
154 534 870
726 636 603
708 587 450
377 663 491
30 309 768
588 612 976
429 555 470
275 231 671
782 237 198
529 417 235
521 648 528
402 447 1
376 788 128
304 255 960
480 732 447
395 327 96
501 308 506
499 545 640
273 318 45
203 798 798
549 442 42
539 677 520
348 520 210
445 153 670
379 134 298
121 82 565
513 385 768
216 770 768
496 769 672
338 365 418
695 616 643
571 100 761
741 689 500
664 342 842
136 420 709
606 264 596
440 282 910
2 482 664
776 464 70
714 774 639
646 155 963
90 669 363
391 418 515
456 199 644
533 249 612
388 742 852
122 471 140
182 452 364
533 231 939
79 550 635
469 71 696
154 50 393
451 157 29
655 190 691
467 297 423
363 739 551
456 157 112
63 151 765
508 199 299
262 415 400
766 686 166
24 474 251
711 767 113
787 245 109
291 647 548
401 762 694
724 211 909
634 763 494
330 270 823
226 94 129
550 232 898
554 463 997
766 742 1000
603 574 766
486 71 508
788 370 486
544 657 946
729 177 745
445 376 505
59 162 876
600 346 621
107 209 256
195 575 293
324 488 405
350 448 898
243 162 369
786 283 687
683 465 951
465 282 135
197 108 591
401 704 192
790 299 785
116 161 988
97 611 437
346 394 270
682 590 811
449 500 109
282 721 373
540 250 712
69 754 38
198 169 331
410 355 698
245 254 628
19 514 628
144 229 469
682 622 338
169 733 721
799 427 363
379 391 614
708 92 139
70 567 438
125 668 909
126 16 595
441 730 568
311 375 119
459 781 444
512 356 982
404 374 72
297 330 127
419 674 332
66 704 225
728 698 547
254 694 494
43 180 360
801 183 620
113 719 645
15 528 524
625 564 165
334 321 736
486 477 319
27 281 977
750 474 353
701 468 215
566 334 42
364 435 50
567 77 246
320 659 419
249 139 800
378 578 349
157 296 749
543 104 312
534 480 939
338 214 425
691 242 782
348 87 642
455 283 682
106 430 892
281 454 678
710 675 390
37 335 502
712 763 976
761 253 272
50 684 538
398 341 325
655 175 456
734 166 491
271 631 858
270 260 479
20 325 245
577 273 520
323 55 363
303 126 754
65 262 897
595 402 786
773 103 856
342 599 896
43 775 983
583 689 772
290 402 688
87 580 214
701 660 619
502 483 919
485 734 862
303 138 885
208 76 97
44 362 930
282 45 505
645 329 914
320 221 116
610 786 783
559 68 802
17 490 649
408 169 911
445 338 176
146 190 553
262 362 130
115 286 713
544 38 919
335 427 968
232 213 375
348 171 199
230 24 53
751 683 463
433 310 924
338 667 227
388 705 590
249 468 622
435 558 871
720 343 349
734 356 890
797 40 479
456 588 892
110 73 871
293 484 598
428 360 886
439 660 689
65 687 617
91 17 598
209 229 288
365 707 802
181 594 545
677 504 799
146 37 257
725 501 476
801 513 18
29 342 529
431 573 97
410 389 421
537 300 757
551 257 398
630 139 524
178 224 647
471 778 109
638 531 622
48 784 60
217 516 943
154 525 413
123 668 954
37 261 48
790 777 543
491 613 47
439 684 624
50 463 183
625 106 110
526 635 34
653 280 823
468 447 450
524 288 873
202 516 849
61 297 815
508 236 606
345 185 865
401 566 650
733 784 990
128 71 474
388 463 785
412 263 457
585 404 974
591 796 334
347 489 205
782 625 411
774 384 217
350 74 86
43 592 845
